winner,control_sw_remaining,control_vp_remaining,test_sw_remaining,test_vp_remaining,duration_rounds,duration_phases,control_actions_taken,control_attacks_taken,control_parries_taken,control_attacks_succeeded,control_parries_succeeded,control_ap_remaining,control_ap_spent,control_ap_spent_wound_checks,control_damage_rolls_count,control_damage_rolls_sum,control_damage_rolls_sumsquares,control_keep_lw_total_count,control_keep_lw_total_sum,control_keep_lw_total_sumsquares,control_sw,control_take_sw_total_count,control_take_sw_total_sum,control_take_sw_total_sumsquares,control_vp_spent,control_vp_spent_attacks,control_vp_spent_wound_checks,control_wc_failed,control_wc_failed_lw_total_count,control_wc_failed_lw_total_sum,control_wc_failed_lw_total_sumsquares,control_wc_failed_margin_count,control_wc_failed_margin_sum,control_wc_failed_margin_sumsquares,control_wc_succeeded,control_wc_succeeded_margin_count,control_wc_succeeded_margin_sum,control_wc_succeeded_margin_sumsquares,control_keep_lw_total_count,test_actions_taken,test_attacks_taken,test_parries_taken,test_attacks_succeeded,test_parries_succeeded,test_ap_remaining,test_ap_spent,test_ap_spent_wound_checks,test_damage_rolls_count,test_damage_rolls_sum,test_damage_rolls_sumsquares,test_keep_lw_total_count,test_keep_lw_total_sum,test_keep_lw_total_sumsquares,test_sw,test_take_sw_total_count,test_take_sw_total_sum,test_take_sw_total_sumsquares,test_vp_spent,test_vp_spent_attacks,test_vp_spent_wound_checks,test_wc_failed,test_wc_failed_lw_total_count,test_wc_failed_lw_total_sum,test_wc_failed_lw_total_sumsquares,test_wc_failed_margin_count,test_wc_failed_margin_sum,test_wc_failed_margin_sumsquares,test_wc_succeeded,test_wc_succeeded_margin_count,test_wc_succeeded_margin_sum,test_wc_succeeded_margin_sumsquares
1,0,0,1,0,4,44,20,18,2,18,0,0,0,0,18,805,41445,4,67,1129,7,3,75,2273,3,3,0,0,0,0,0,0,0,0,7,7,239,9891,4,16,16,0,8,0,0,0,0,7,142,3402,5,130,3460,11,1,43,1849,2,1,1,12,12,632,36136,12,234,6886,6,6,102,2814
1,0,0,5,0,2,22,10,8,2,8,0,0,0,0,8,306,13878,0,0,0,3,4,151,5875,3,3,0,1,1,46,2116,1,7,49,4,4,84,2300,0,8,8,0,6,0,0,0,0,5,197,7991,4,109,3407,11,0,0,0,2,2,0,4,4,197,10471,4,49,745,4,4,75,1631
1,0,0,2,1,2,19,10,9,1,9,0,0,0,0,9,429,22407,0,0,0,6,3,118,4996,3,3,0,1,1,71,5041,1,24,576,3,3,37,475,0,7,7,0,5,0,0,0,0,4,189,10037,3,96,3338,11,0,0,0,1,1,0,6,6,333,19069,6,115,3041,3,3,14,106
-1,1,0,0,0,3,33,15,15,0,15,0,0,0,0,15,703,37989,4,104,2910,8,3,95,3129,3,3,0,0,0,0,0,0,0,0,7,7,160,4748,4,11,11,0,7,0,0,0,0,7,199,6039,3,71,1683,10,0,0,0,2,2,0,12,12,632,36306,12,287,9877,3,3,35,427
-1,1,0,-1,0,4,39,18,17,1,17,0,0,0,0,17,858,46104,4,70,1246,9,3,115,4507,3,3,0,0,0,0,0,0,0,0,7,7,171,5357,4,13,13,0,7,0,0,0,0,7,185,5753,6,228,8864,10,1,43,1849,2,2,0,10,10,587,35391,10,220,6448,7,7,60,616
1,0,0,6,0,2,22,10,9,1,9,0,0,0,0,9,369,15787,2,33,545,2,3,111,4149,3,3,0,1,1,48,2304,1,5,25,5,5,90,2810,2,8,8,0,7,0,0,0,0,6,192,6998,1,43,1849,11,0,0,0,2,2,0,8,8,326,13938,8,58,548,1,1,17,289
1,0,0,7,0,2,16,8,7,1,7,0,0,0,0,7,307,14001,1,13,169,1,2,67,2257,3,3,0,1,1,79,6241,1,36,1296,3,3,76,2814,1,5,5,0,5,0,0,0,0,4,159,8667,2,75,2825,11,0,0,0,2,2,0,5,5,232,11176,5,52,642,2,2,18,194
1,0,0,5,0,3,25,11,9,2,9,0,0,0,0,9,469,26517,2,50,1258,3,3,67,1525,3,3,0,1,1,60,3600,1,2,4,5,5,107,2605,2,9,9,0,7,0,0,0,0,6,177,6383,1,48,2304,11,0,0,0,2,2,0,8,8,421,24213,8,149,4363,1,1,2,4
-1,4,0,-1,0,3,30,13,13,0,13,0,0,0,0,13,566,27928,1,25,625,9,3,113,5117,3,2,1,0,0,0,0,0,0,0,4,4,103,2665,1,11,9,2,4,0,0,0,0,4,138,5742,6,188,6574,7,1,48,2304,2,1,1,6,6,330,19050,6,137,4411,7,7,100,2200
1,0,1,7,0,2,19,10,9,1,9,0,0,0,0,9,501,30953,1,21,441,1,3,104,4098,2,2,0,1,1,49,2401,1,11,121,4,4,72,2030,1,7,7,0,6,0,0,0,0,5,174,6940,2,58,1684,11,0,0,0,2,2,0,7,7,443,29269,7,160,4824,2,2,39,1025
-1,9,0,0,0,2,15,9,9,0,9,0,0,0,0,9,363,15429,0,0,0,8,0,0,0,2,1,1,1,1,68,4624,1,3,9,0,0,0,0,0,4,3,1,1,0,0,0,0,1,68,4624,5,177,6511,2,1,43,1849,2,1,1,3,3,143,7069,3,46,818,6,6,46,826
1,0,1,4,0,2,22,10,10,0,10,0,0,0,0,10,334,11942,2,33,557,4,3,110,4324,1,0,1,1,1,66,4356,1,6,36,5,5,165,6605,2,8,8,0,7,0,0,0,0,6,209,9237,6,178,5664,11,3,116,4678,2,2,0,1,1,40,1600,1,10,100,9,9,106,1804
-1,4,0,-1,0,4,40,17,17,0,17,0,0,0,0,17,764,36872,1,8,64,9,2,73,2665,3,3,0,1,1,35,1225,1,3,9,3,3,68,1834,1,16,15,1,4,0,0,0,0,4,116,3954,6,197,7011,7,2,81,3293,2,2,0,9,9,486,26568,9,160,3892,8,8,68,920
